scenario,distance,baselinespeed_mean,baselinetime_mean,baselineco2_mean,baselineenergy_mean,hlspeed_mean,hltime_mean,hlco2_mean,hlenergy_mean,baselineexports,hlexports,diffpercent
S1,6000,83.38,75,135,750.02,716.6,6.5,35.01,339.81,0.011,0.021,91.04
S2,2245,100.01,28.16,224.99,418.34,428.34,3,118.15,375.23,0.02,0.033,59.41
S3,1500,93.33,16.5,39.97,347.55,349.09,1.6,3,120.07,0.03,0.058,90.86
S4,1200,109.94,12,33.97,421.64,421.7,1.32,4,95.98,0.036,0.068,87.61
S5,1180,95.02,13,34.01,419.98,419.89,3.02,2.1,95.94,0.036,0.069,91.82
S6,1100,115,10,30.03,418.54,411.89,1.3,3.01,83.98,0.039,0.073,87.3
S7,1000,84.99,11.5,28.16,420.22,420.09,1.18,2.5,82,0.04,0.079,97.18
S8,900,114.99,8.5,20,419.92,419.83,1.2,2.5,72.02,0.046,0.084,84.38
S9,800,93.31,10.5,22.49,399.82,400.11,1,2,66.03,0.047,0.092,94.67
S10,750,91.66,9.01,22.15,400.06,400.01,0.9,2,54,0.049,0.097,95.29
S11,600,110.04,6,16.01,400.03,400.12,0.77,2,48.01,0.06,0.111,85.33
S12,500,89.94,6,13.49,400.05,400.03,0.95,2,41.99,0.067,0.124,86.16
